Creating 100 jobs, each processing 10 personas with all 50 comparisons each
Each persona will be queried twice (X vs Y and Y vs X) for a total of 100 judgments per persona
Using model: llama3-8b-instruct
Maximum concurrent jobs: 100
Starting wave 1 of job submissions
Submitted job 1/100 (ID: 7425026) without dependency
Submitted job 2/100 (ID: 7425028) without dependency
Submitted job 3/100 (ID: 7425030) without dependency
Submitted job 4/100 (ID: 7425033) without dependency
Submitted job 5/100 (ID: 7425034) without dependency
Submitted job 6/100 (ID: 7425036) without dependency
Submitted job 7/100 (ID: 7425038) without dependency
Submitted job 8/100 (ID: 7425041) without dependency
Submitted job 9/100 (ID: 7425043) without dependency
Submitted job 10/100 (ID: 7425045) without dependency
Submitted job 11/100 (ID: 7425047) without dependency
Submitted job 12/100 (ID: 7425050) without dependency
Submitted job 13/100 (ID: 7425052) without dependency
Submitted job 14/100 (ID: 7425053) without dependency
Submitted job 15/100 (ID: 7425055) without dependency
Submitted job 16/100 (ID: 7425057) without dependency
Submitted job 17/100 (ID: 7425058) without dependency
Submitted job 18/100 (ID: 7425060) without dependency
Submitted job 19/100 (ID: 7425063) without dependency
Submitted job 20/100 (ID: 7425065) without dependency
Submitted job 21/100 (ID: 7425066) without dependency
Submitted job 22/100 (ID: 7425068) without dependency
Submitted job 23/100 (ID: 7425069) without dependency
Submitted job 24/100 (ID: 7425071) without dependency
Submitted job 25/100 (ID: 7425073) without dependency
Submitted job 26/100 (ID: 7425088) without dependency
Submitted job 27/100 (ID: 7425091) without dependency
Submitted job 28/100 (ID: 7425092) without dependency
Submitted job 29/100 (ID: 7425094) without dependency
Submitted job 30/100 (ID: 7425095) without dependency
Submitted job 31/100 (ID: 7425098) without dependency
Submitted job 32/100 (ID: 7425100) without dependency
Submitted job 33/100 (ID: 7425103) without dependency
Submitted job 34/100 (ID: 7425105) without dependency
Submitted job 35/100 (ID: 7425107) without dependency
Submitted job 36/100 (ID: 7425109) without dependency
Submitted job 37/100 (ID: 7425111) without dependency
Submitted job 38/100 (ID: 7425112) without dependency
Submitted job 39/100 (ID: 7425114) without dependency
Submitted job 40/100 (ID: 7425116) without dependency
Submitted job 41/100 (ID: 7425118) without dependency
Submitted job 42/100 (ID: 7425120) without dependency
Submitted job 43/100 (ID: 7425121) without dependency
Submitted job 44/100 (ID: 7425123) without dependency
Submitted job 45/100 (ID: 7425125) without dependency
Submitted job 46/100 (ID: 7425127) without dependency
Submitted job 47/100 (ID: 7425128) without dependency
Submitted job 48/100 (ID: 7425130) without dependency
Submitted job 49/100 (ID: 7425131) without dependency
Submitted job 50/100 (ID: 7425133) without dependency
Submitted job 51/100 (ID: 7425134) without dependency
Submitted job 52/100 (ID: 7425136) without dependency
Submitted job 53/100 (ID: 7425137) without dependency
Submitted job 54/100 (ID: 7425153) without dependency
Submitted job 55/100 (ID: 7425157) without dependency
Submitted job 56/100 (ID: 7425159) without dependency
Submitted job 57/100 (ID: 7425161) without dependency
Submitted job 58/100 (ID: 7425163) without dependency
Submitted job 59/100 (ID: 7425165) without dependency
Submitted job 60/100 (ID: 7425167) without dependency
Submitted job 61/100 (ID: 7425170) without dependency
Submitted job 62/100 (ID: 7425172) without dependency
Submitted job 63/100 (ID: 7425174) without dependency
Submitted job 64/100 (ID: 7425176) without dependency
Submitted job 65/100 (ID: 7425178) without dependency
Submitted job 66/100 (ID: 7425181) without dependency
Submitted job 67/100 (ID: 7425183) without dependency
Submitted job 68/100 (ID: 7425184) without dependency
Submitted job 69/100 (ID: 7425186) without dependency
Submitted job 70/100 (ID: 7425188) without dependency
Submitted job 71/100 (ID: 7425189) without dependency
Submitted job 72/100 (ID: 7425192) without dependency
Submitted job 73/100 (ID: 7425193) without dependency
Submitted job 74/100 (ID: 7425195) without dependency
Submitted job 75/100 (ID: 7425197) without dependency
Submitted job 76/100 (ID: 7425199) without dependency
Submitted job 77/100 (ID: 7425200) without dependency
Submitted job 78/100 (ID: 7425203) without dependency
Submitted job 79/100 (ID: 7425205) without dependency
Submitted job 80/100 (ID: 7425207) without dependency
Submitted job 81/100 (ID: 7425209) without dependency
Submitted job 82/100 (ID: 7425210) without dependency
Submitted job 83/100 (ID: 7425212) without dependency
Submitted job 84/100 (ID: 7425226) without dependency
Submitted job 85/100 (ID: 7425227) without dependency
Submitted job 86/100 (ID: 7425229) without dependency
Submitted job 87/100 (ID: 7425233) without dependency
Submitted job 88/100 (ID: 7425235) without dependency
Submitted job 89/100 (ID: 7425237) without dependency
Submitted job 90/100 (ID: 7425238) without dependency
Submitted job 91/100 (ID: 7425241) without dependency
Submitted job 92/100 (ID: 7425243) without dependency
Submitted job 93/100 (ID: 7425245) without dependency
Submitted job 94/100 (ID: 7425248) without dependency
Submitted job 95/100 (ID: 7425249) without dependency
Submitted job 96/100 (ID: 7425251) without dependency
Submitted job 97/100 (ID: 7425253) without dependency
Submitted job 98/100 (ID: 7425255) without dependency
Submitted job 99/100 (ID: 7425257) without dependency
Submitted job 100/100 (ID: 7425259) without dependency
Starting wave 2 of job submissions
All 100 jobs submitted in 2 waves!
Log file: job_manager_double_query_study.log
Created monitor_jobs.sh script to check progress
