Starting job manager at Sun Mar 16 19:33:16 EDT 2025
Parameters: output_name=fixed_compas_study, personas=1000, comparisons_per_job=10, max_concurrent=200, model=llama3-8b-instruct
Found 100 fixed comparisons
Creating a grid of 20 persona blocks × 10 comparison blocks = 200 jobs
Each job will process up to 50 personas evaluating up to 10 comparisons
Using model: llama3-8b-instruct
Maximum concurrent jobs: 200
Starting wave 1 of job submissions
Submitted job 1/200 (ID: 7113263) without dependency
Submitted job 2/200 (ID: 7113264) without dependency
Submitted job 3/200 (ID: 7113265) without dependency
Submitted job 4/200 (ID: 7113266) without dependency
Submitted job 5/200 (ID: 7113267) without dependency
Submitted job 6/200 (ID: 7113268) without dependency
Submitted job 7/200 (ID: 7113269) without dependency
Submitted job 8/200 (ID: 7113270) without dependency
Submitted job 9/200 (ID: 7113272) without dependency
Submitted job 10/200 (ID: 7113273) without dependency
Submitted job 11/200 (ID: 7113275) without dependency
Submitted job 12/200 (ID: 7113276) without dependency
Submitted job 13/200 (ID: 7113277) without dependency
Submitted job 14/200 (ID: 7113278) without dependency
Submitted job 15/200 (ID: 7113284) without dependency
Submitted job 16/200 (ID: 7113285) without dependency
Submitted job 17/200 (ID: 7113286) without dependency
Submitted job 18/200 (ID: 7113288) without dependency
Submitted job 19/200 (ID: 7113289) without dependency
Submitted job 20/200 (ID: 7113290) without dependency
Submitted job 21/200 (ID: 7113291) without dependency
Submitted job 22/200 (ID: 7113293) without dependency
Submitted job 23/200 (ID: 7113294) without dependency
Submitted job 24/200 (ID: 7113295) without dependency
Submitted job 25/200 (ID: 7113296) without dependency
Submitted job 26/200 (ID: 7113297) without dependency
Submitted job 27/200 (ID: 7113298) without dependency
Submitted job 28/200 (ID: 7113299) without dependency
Submitted job 29/200 (ID: 7113300) without dependency
Submitted job 30/200 (ID: 7113301) without dependency
Submitted job 31/200 (ID: 7113302) without dependency
Submitted job 32/200 (ID: 7113303) without dependency
Submitted job 33/200 (ID: 7113304) without dependency
Submitted job 34/200 (ID: 7113305) without dependency
Submitted job 35/200 (ID: 7113307) without dependency
Submitted job 36/200 (ID: 7113308) without dependency
Submitted job 37/200 (ID: 7113309) without dependency
Submitted job 38/200 (ID: 7113310) without dependency
Submitted job 39/200 (ID: 7113311) without dependency
Submitted job 40/200 (ID: 7113312) without dependency
Submitted job 41/200 (ID: 7113313) without dependency
Submitted job 42/200 (ID: 7113314) without dependency
Submitted job 43/200 (ID: 7113315) without dependency
Submitted job 44/200 (ID: 7113316) without dependency
Submitted job 45/200 (ID: 7113317) without dependency
Submitted job 46/200 (ID: 7113318) without dependency
Submitted job 47/200 (ID: 7113319) without dependency
Submitted job 48/200 (ID: 7113320) without dependency
Submitted job 49/200 (ID: 7113322) without dependency
Submitted job 50/200 (ID: 7113323) without dependency
Submitted job 51/200 (ID: 7113324) without dependency
Submitted job 52/200 (ID: 7113325) without dependency
Submitted job 53/200 (ID: 7113326) without dependency
Submitted job 54/200 (ID: 7113327) without dependency
Submitted job 55/200 (ID: 7113328) without dependency
Submitted job 56/200 (ID: 7113329) without dependency
Submitted job 57/200 (ID: 7113330) without dependency
Submitted job 58/200 (ID: 7113331) without dependency
Submitted job 59/200 (ID: 7113332) without dependency
Submitted job 60/200 (ID: 7113333) without dependency
Submitted job 61/200 (ID: 7113334) without dependency
Submitted job 62/200 (ID: 7113335) without dependency
Submitted job 63/200 (ID: 7113337) without dependency
Submitted job 64/200 (ID: 7113338) without dependency
Submitted job 65/200 (ID: 7113339) without dependency
Submitted job 66/200 (ID: 7113345) without dependency
Submitted job 67/200 (ID: 7113346) without dependency
Submitted job 68/200 (ID: 7113348) without dependency
Submitted job 69/200 (ID: 7113349) without dependency
Submitted job 70/200 (ID: 7113350) without dependency
Submitted job 71/200 (ID: 7113351) without dependency
Submitted job 72/200 (ID: 7113352) without dependency
Submitted job 73/200 (ID: 7113354) without dependency
Submitted job 74/200 (ID: 7113355) without dependency
Submitted job 75/200 (ID: 7113356) without dependency
Submitted job 76/200 (ID: 7113357) without dependency
Submitted job 77/200 (ID: 7113358) without dependency
Submitted job 78/200 (ID: 7113359) without dependency
Submitted job 79/200 (ID: 7113360) without dependency
Submitted job 80/200 (ID: 7113362) without dependency
Submitted job 81/200 (ID: 7113363) without dependency
Submitted job 82/200 (ID: 7113364) without dependency
Submitted job 83/200 (ID: 7113365) without dependency
Submitted job 84/200 (ID: 7113366) without dependency
Submitted job 85/200 (ID: 7113367) without dependency
Submitted job 86/200 (ID: 7113368) without dependency
Submitted job 87/200 (ID: 7113370) without dependency
Submitted job 88/200 (ID: 7113371) without dependency
Submitted job 89/200 (ID: 7113372) without dependency
Submitted job 90/200 (ID: 7113373) without dependency
Submitted job 91/200 (ID: 7113374) without dependency
Submitted job 92/200 (ID: 7113375) without dependency
Submitted job 93/200 (ID: 7113376) without dependency
Submitted job 94/200 (ID: 7113377) without dependency
Submitted job 95/200 (ID: 7113378) without dependency
Submitted job 96/200 (ID: 7113379) without dependency
Submitted job 97/200 (ID: 7113380) without dependency
Submitted job 98/200 (ID: 7113381) without dependency
Submitted job 99/200 (ID: 7113382) without dependency
Submitted job 100/200 (ID: 7113384) without dependency
Submitted job 101/200 (ID: 7113385) without dependency
Submitted job 102/200 (ID: 7113386) without dependency
Submitted job 103/200 (ID: 7113387) without dependency
Submitted job 104/200 (ID: 7113388) without dependency
