persona_id,persona,comparison_number,choice,choice_type,explanation,individual1_id,individual1_sex,individual1_age,individual1_race,individual1_juv_fel,individual1_juv_misd,individual1_juv_other,individual1_priors,individual1_charge,individual2_id,individual2_sex,individual2_age,individual2_race,individual2_juv_fel,individual2_juv_misd,individual2_juv_other,individual2_priors,individual2_charge,timestamp
0,"age: 23
sex: Male
race: Some Other Race alone
ancestry: Hispanic
household language: Spanish
education: Regular high school diploma
employment status: Not in labor force
class of worker: Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions
industry category: RET-Automobile Dealers
occupation category: TRN-Stockers And Order Fillers
detailed job description: Responsible for receiving, storing, and distributing material, tools, equipment, and products within establishments
income: 112600.0
marital status: Never married or under 15 years old
household type: Married couple household, no children of the householder less than 18
family presence and age: No related children
place of birth: Texas/TX
citizenship: Born in the United States
veteran status: Non-Veteran
disability: None
health insurance: With health insurance coverage
big five scores: Openness: Low, Conscientiousness: Extremely Low, Extraversion: High, Agreeableness: Average, Neuroticism: Low
defining quirks: Enjoys tinkering with technology and gadgets
mannerisms: Speaks quickly and with enthusiasm
personal time: Spends free time volunteering at the local church and working on cars
lifestyle: Relaxed and community-oriented
ideology: Conservative
political views: Republican
religion: Catholic
",1,"Ok to treat differently, or no opinion",different,,5757,Male,28,African-American,0,0,0,1,M,3152,Female,43,Caucasian,0,0,0,7,F,2025-03-07 03:26:28
0,"age: 23
sex: Male
race: Some Other Race alone
ancestry: Hispanic
household language: Spanish
education: Regular high school diploma
employment status: Not in labor force
class of worker: Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions
industry category: RET-Automobile Dealers
occupation category: TRN-Stockers And Order Fillers
detailed job description: Responsible for receiving, storing, and distributing material, tools, equipment, and products within establishments
income: 112600.0
marital status: Never married or under 15 years old
household type: Married couple household, no children of the householder less than 18
family presence and age: No related children
place of birth: Texas/TX
citizenship: Born in the United States
veteran status: Non-Veteran
disability: None
health insurance: With health insurance coverage
big five scores: Openness: Low, Conscientiousness: Extremely Low, Extraversion: High, Agreeableness: Average, Neuroticism: Low
defining quirks: Enjoys tinkering with technology and gadgets
mannerisms: Speaks quickly and with enthusiasm
personal time: Spends free time volunteering at the local church and working on cars
lifestyle: Relaxed and community-oriented
ideology: Conservative
political views: Republican
religion: Catholic
",2,"Ok to treat differently, or no opinion",different,,6859,Male,22,Caucasian,0,0,0,0,F,1965,Female,26,African-American,0,0,0,5,F,2025-03-07 03:26:28
0,"age: 23
sex: Male
race: Some Other Race alone
ancestry: Hispanic
household language: Spanish
education: Regular high school diploma
employment status: Not in labor force
class of worker: Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions
industry category: RET-Automobile Dealers
occupation category: TRN-Stockers And Order Fillers
detailed job description: Responsible for receiving, storing, and distributing material, tools, equipment, and products within establishments
income: 112600.0
marital status: Never married or under 15 years old
household type: Married couple household, no children of the householder less than 18
family presence and age: No related children
place of birth: Texas/TX
citizenship: Born in the United States
veteran status: Non-Veteran
disability: None
health insurance: With health insurance coverage
big five scores: Openness: Low, Conscientiousness: Extremely Low, Extraversion: High, Agreeableness: Average, Neuroticism: Low
defining quirks: Enjoys tinkering with technology and gadgets
mannerisms: Speaks quickly and with enthusiasm
personal time: Spends free time volunteering at the local church and working on cars
lifestyle: Relaxed and community-oriented
ideology: Conservative
political views: Republican
religion: Catholic
",3,"Ok to treat differently, or no opinion",different,,10115,Male,35,African-American,0,0,0,5,F,5390,Male,21,African-American,0,0,0,0,F,2025-03-07 03:26:29
0,"age: 23
sex: Male
race: Some Other Race alone
ancestry: Hispanic
household language: Spanish
education: Regular high school diploma
employment status: Not in labor force
class of worker: Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions
industry category: RET-Automobile Dealers
occupation category: TRN-Stockers And Order Fillers
detailed job description: Responsible for receiving, storing, and distributing material, tools, equipment, and products within establishments
income: 112600.0
marital status: Never married or under 15 years old
household type: Married couple household, no children of the householder less than 18
family presence and age: No related children
place of birth: Texas/TX
citizenship: Born in the United States
veteran status: Non-Veteran
disability: None
health insurance: With health insurance coverage
big five scores: Openness: Low, Conscientiousness: Extremely Low, Extraversion: High, Agreeableness: Average, Neuroticism: Low
defining quirks: Enjoys tinkering with technology and gadgets
mannerisms: Speaks quickly and with enthusiasm
personal time: Spends free time volunteering at the local church and working on cars
lifestyle: Relaxed and community-oriented
ideology: Conservative
political views: Republican
religion: Catholic
",4,"Ok to treat differently, or no opinion",different,,4087,Female,41,African-American,0,1,0,6,M,9094,Male,24,African-American,0,0,1,3,F,2025-03-07 03:26:29
0,"age: 23
sex: Male
race: Some Other Race alone
ancestry: Hispanic
household language: Spanish
education: Regular high school diploma
employment status: Not in labor force
class of worker: Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions
industry category: RET-Automobile Dealers
occupation category: TRN-Stockers And Order Fillers
detailed job description: Responsible for receiving, storing, and distributing material, tools, equipment, and products within establishments
income: 112600.0
marital status: Never married or under 15 years old
household type: Married couple household, no children of the householder less than 18
family presence and age: No related children
place of birth: Texas/TX
citizenship: Born in the United States
veteran status: Non-Veteran
disability: None
health insurance: With health insurance coverage
big five scores: Openness: Low, Conscientiousness: Extremely Low, Extraversion: High, Agreeableness: Average, Neuroticism: Low
defining quirks: Enjoys tinkering with technology and gadgets
mannerisms: Speaks quickly and with enthusiasm
personal time: Spends free time volunteering at the local church and working on cars
lifestyle: Relaxed and community-oriented
ideology: Conservative
political views: Republican
religion: Catholic
",5,"Ok to treat differently, or no opinion",different,,4757,Male,39,African-American,0,0,0,1,F,1776,Male,21,African-American,0,0,0,0,F,2025-03-07 03:26:29
0,"age: 23
sex: Male
race: Some Other Race alone
ancestry: Hispanic
household language: Spanish
education: Regular high school diploma
employment status: Not in labor force
class of worker: Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions
industry category: RET-Automobile Dealers
occupation category: TRN-Stockers And Order Fillers
detailed job description: Responsible for receiving, storing, and distributing material, tools, equipment, and products within establishments
income: 112600.0
marital status: Never married or under 15 years old
household type: Married couple household, no children of the householder less than 18
family presence and age: No related children
place of birth: Texas/TX
citizenship: Born in the United States
veteran status: Non-Veteran
disability: None
health insurance: With health insurance coverage
big five scores: Openness: Low, Conscientiousness: Extremely Low, Extraversion: High, Agreeableness: Average, Neuroticism: Low
defining quirks: Enjoys tinkering with technology and gadgets
mannerisms: Speaks quickly and with enthusiasm
personal time: Spends free time volunteering at the local church and working on cars
lifestyle: Relaxed and community-oriented
ideology: Conservative
political views: Republican
religion: Catholic
",6,"Ok to treat differently, or no opinion",different,,9544,Male,30,Caucasian,0,0,0,3,M,9324,Female,28,Caucasian,0,0,0,2,F,2025-03-07 03:26:30
0,"age: 23
sex: Male
race: Some Other Race alone
ancestry: Hispanic
household language: Spanish
education: Regular high school diploma
employment status: Not in labor force
class of worker: Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions
industry category: RET-Automobile Dealers
occupation category: TRN-Stockers And Order Fillers
detailed job description: Responsible for receiving, storing, and distributing material, tools, equipment, and products within establishments
income: 112600.0
marital status: Never married or under 15 years old
household type: Married couple household, no children of the householder less than 18
family presence and age: No related children
place of birth: Texas/TX
citizenship: Born in the United States
veteran status: Non-Veteran
disability: None
health insurance: With health insurance coverage
big five scores: Openness: Low, Conscientiousness: Extremely Low, Extraversion: High, Agreeableness: Average, Neuroticism: Low
defining quirks: Enjoys tinkering with technology and gadgets
mannerisms: Speaks quickly and with enthusiasm
personal time: Spends free time volunteering at the local church and working on cars
lifestyle: Relaxed and community-oriented
ideology: Conservative
political views: Republican
religion: Catholic
",7,"Ok to treat differently, or no opinion",different,,7119,Male,23,African-American,0,0,0,3,M,452,Male,62,Caucasian,0,0,0,0,F,2025-03-07 03:26:30
0,"age: 23
sex: Male
race: Some Other Race alone
ancestry: Hispanic
household language: Spanish
education: Regular high school diploma
employment status: Not in labor force
class of worker: Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions
industry category: RET-Automobile Dealers
occupation category: TRN-Stockers And Order Fillers
detailed job description: Responsible for receiving, storing, and distributing material, tools, equipment, and products within establishments
income: 112600.0
marital status: Never married or under 15 years old
household type: Married couple household, no children of the householder less than 18
family presence and age: No related children
place of birth: Texas/TX
citizenship: Born in the United States
veteran status: Non-Veteran
disability: None
health insurance: With health insurance coverage
big five scores: Openness: Low, Conscientiousness: Extremely Low, Extraversion: High, Agreeableness: Average, Neuroticism: Low
defining quirks: Enjoys tinkering with technology and gadgets
mannerisms: Speaks quickly and with enthusiasm
personal time: Spends free time volunteering at the local church and working on cars
lifestyle: Relaxed and community-oriented
ideology: Conservative
political views: Republican
religion: Catholic
",8,"Ok to treat differently, or no opinion",different,,10997,Male,23,African-American,0,0,0,0,F,6480,Male,36,African-American,3,0,0,16,F,2025-03-07 03:26:31
0,"age: 23
sex: Male
race: Some Other Race alone
ancestry: Hispanic
household language: Spanish
education: Regular high school diploma
employment status: Not in labor force
class of worker: Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions
industry category: RET-Automobile Dealers
occupation category: TRN-Stockers And Order Fillers
detailed job description: Responsible for receiving, storing, and distributing material, tools, equipment, and products within establishments
income: 112600.0
marital status: Never married or under 15 years old
household type: Married couple household, no children of the householder less than 18
family presence and age: No related children
place of birth: Texas/TX
citizenship: Born in the United States
veteran status: Non-Veteran
disability: None
health insurance: With health insurance coverage
big five scores: Openness: Low, Conscientiousness: Extremely Low, Extraversion: High, Agreeableness: Average, Neuroticism: Low
defining quirks: Enjoys tinkering with technology and gadgets
mannerisms: Speaks quickly and with enthusiasm
personal time: Spends free time volunteering at the local church and working on cars
lifestyle: Relaxed and community-oriented
ideology: Conservative
political views: Republican
religion: Catholic
",9,"Ok to treat differently, or no opinion",different,,446,Female,21,African-American,0,0,0,0,M,6715,Female,25,African-American,0,0,0,0,M,2025-03-07 03:26:31
0,"age: 23
sex: Male
race: Some Other Race alone
ancestry: Hispanic
household language: Spanish
education: Regular high school diploma
employment status: Not in labor force
class of worker: Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions
industry category: RET-Automobile Dealers
occupation category: TRN-Stockers And Order Fillers
detailed job description: Responsible for receiving, storing, and distributing material, tools, equipment, and products within establishments
income: 112600.0
marital status: Never married or under 15 years old
household type: Married couple household, no children of the householder less than 18
family presence and age: No related children
place of birth: Texas/TX
citizenship: Born in the United States
veteran status: Non-Veteran
disability: None
health insurance: With health insurance coverage
big five scores: Openness: Low, Conscientiousness: Extremely Low, Extraversion: High, Agreeableness: Average, Neuroticism: Low
defining quirks: Enjoys tinkering with technology and gadgets
mannerisms: Speaks quickly and with enthusiasm
personal time: Spends free time volunteering at the local church and working on cars
lifestyle: Relaxed and community-oriented
ideology: Conservative
political views: Republican
religion: Catholic
",10,Should be treated equally,equal,,1711,Female,40,Caucasian,0,0,0,0,M,4943,Male,46,African-American,1,0,1,9,F,2025-03-07 03:26:31
