persona,choice,choice_number,choice1,choice2
"age: 42
sex: Female
race: White alone
ancestry: Irish
household language: English only
education: Master's degree
employment status: Civilian employed, at work
class of worker: Employee of a private not-for-profit, tax-exempt, or charitable organization
industry category: EDU-Elementary And Secondary Schools
occupation category: EDU-Preschool And Kindergarten Teachers
detailed job description: Teaches preschool and kindergarten students basic subjects and social skills
income: 151000.0
marital status: Married
household type: Married couple household with children of the householder less than 18
family presence and age: With related children 5 to 17 years only
place of birth: Kansas/KS
citizenship: Born in the United States
veteran status: Non-Veteran
disability: None
health insurance: With health insurance coverage
big five scores: Openness: Extremely High, Conscientiousness: Low, Extraversion: Extremely High, Agreeableness: Extremely Low, Neuroticism: High
defining quirks: Collects children's books
mannerisms: Often uses expressive hand gestures when speaking
personal time: Reading, Planning lessons for students
lifestyle: Busy, Family-oriented
ideology: Social Liberal
political views: Democrat
religion: Catholic
",1,1,Chocolate ice cream,Vanilla ice cream
"age: 42
sex: Female
race: White alone
ancestry: Irish
household language: English only
education: Master's degree
employment status: Civilian employed, at work
class of worker: Employee of a private not-for-profit, tax-exempt, or charitable organization
industry category: EDU-Elementary And Secondary Schools
occupation category: EDU-Preschool And Kindergarten Teachers
detailed job description: Teaches preschool and kindergarten students basic subjects and social skills
income: 151000.0
marital status: Married
household type: Married couple household with children of the householder less than 18
family presence and age: With related children 5 to 17 years only
place of birth: Kansas/KS
citizenship: Born in the United States
veteran status: Non-Veteran
disability: None
health insurance: With health insurance coverage
big five scores: Openness: Extremely High, Conscientiousness: Low, Extraversion: Extremely High, Agreeableness: Extremely Low, Neuroticism: High
defining quirks: Collects children's books
mannerisms: Often uses expressive hand gestures when speaking
personal time: Reading, Planning lessons for students
lifestyle: Busy, Family-oriented
ideology: Social Liberal
political views: Democrat
religion: Catholic
",1,1,Chocolate ice cream,Vanilla ice cream
"age: 42
sex: Female
race: White alone
ancestry: Irish
household language: English only
education: Master's degree
employment status: Civilian employed, at work
class of worker: Employee of a private not-for-profit, tax-exempt, or charitable organization
industry category: EDU-Elementary And Secondary Schools
occupation category: EDU-Preschool And Kindergarten Teachers
detailed job description: Teaches preschool and kindergarten students basic subjects and social skills
income: 151000.0
marital status: Married
household type: Married couple household with children of the householder less than 18
family presence and age: With related children 5 to 17 years only
place of birth: Kansas/KS
citizenship: Born in the United States
veteran status: Non-Veteran
disability: None
health insurance: With health insurance coverage
big five scores: Openness: Extremely High, Conscientiousness: Low, Extraversion: Extremely High, Agreeableness: Extremely Low, Neuroticism: High
defining quirks: Collects children's books
mannerisms: Often uses expressive hand gestures when speaking
personal time: Reading, Planning lessons for students
lifestyle: Busy, Family-oriented
ideology: Social Liberal
political views: Democrat
religion: Catholic
",1,1,Chocolate ice cream,Vanilla ice cream
"age: 42
sex: Female
race: White alone
ancestry: Irish
household language: English only
education: Master's degree
employment status: Civilian employed, at work
class of worker: Employee of a private not-for-profit, tax-exempt, or charitable organization
industry category: EDU-Elementary And Secondary Schools
occupation category: EDU-Preschool And Kindergarten Teachers
detailed job description: Teaches preschool and kindergarten students basic subjects and social skills
income: 151000.0
marital status: Married
household type: Married couple household with children of the householder less than 18
family presence and age: With related children 5 to 17 years only
place of birth: Kansas/KS
citizenship: Born in the United States
veteran status: Non-Veteran
disability: None
health insurance: With health insurance coverage
big five scores: Openness: Extremely High, Conscientiousness: Low, Extraversion: Extremely High, Agreeableness: Extremely Low, Neuroticism: High
defining quirks: Collects children's books
mannerisms: Often uses expressive hand gestures when speaking
personal time: Reading, Planning lessons for students
lifestyle: Busy, Family-oriented
ideology: Social Liberal
political views: Democrat
religion: Catholic
",1,1,Chocolate ice cream,Vanilla ice cream
"age: 42
sex: Female
race: White alone
ancestry: Irish
household language: English only
education: Master's degree
employment status: Civilian employed, at work
class of worker: Employee of a private not-for-profit, tax-exempt, or charitable organization
industry category: EDU-Elementary And Secondary Schools
occupation category: EDU-Preschool And Kindergarten Teachers
detailed job description: Teaches preschool and kindergarten students basic subjects and social skills
income: 151000.0
marital status: Married
household type: Married couple household with children of the householder less than 18
family presence and age: With related children 5 to 17 years only
place of birth: Kansas/KS
citizenship: Born in the United States
veteran status: Non-Veteran
disability: None
health insurance: With health insurance coverage
big five scores: Openness: Extremely High, Conscientiousness: Low, Extraversion: Extremely High, Agreeableness: Extremely Low, Neuroticism: High
defining quirks: Collects children's books
mannerisms: Often uses expressive hand gestures when speaking
personal time: Reading, Planning lessons for students
lifestyle: Busy, Family-oriented
ideology: Social Liberal
political views: Democrat
religion: Catholic
",1,1,Chocolate ice cream,Vanilla ice cream
"age: 42
sex: Female
race: White alone
ancestry: Irish
household language: English only
education: Master's degree
employment status: Civilian employed, at work
class of worker: Employee of a private not-for-profit, tax-exempt, or charitable organization
industry category: EDU-Elementary And Secondary Schools
occupation category: EDU-Preschool And Kindergarten Teachers
detailed job description: Teaches preschool and kindergarten students basic subjects and social skills
income: 151000.0
marital status: Married
household type: Married couple household with children of the householder less than 18
family presence and age: With related children 5 to 17 years only
place of birth: Kansas/KS
citizenship: Born in the United States
veteran status: Non-Veteran
disability: None
health insurance: With health insurance coverage
big five scores: Openness: Extremely High, Conscientiousness: Low, Extraversion: Extremely High, Agreeableness: Extremely Low, Neuroticism: High
defining quirks: Collects children's books
mannerisms: Often uses expressive hand gestures when speaking
personal time: Reading, Planning lessons for students
lifestyle: Busy, Family-oriented
ideology: Social Liberal
political views: Democrat
religion: Catholic
","

I prefer Option 1: Chocolate ice cream.",1,Chocolate ice cream,Vanilla ice cream
"age: 42
sex: Female
race: White alone
ancestry: Irish
household language: English only
education: Master's degree
employment status: Civilian employed, at work
class of worker: Employee of a private not-for-profit, tax-exempt, or charitable organization
industry category: EDU-Elementary And Secondary Schools
occupation category: EDU-Preschool And Kindergarten Teachers
detailed job description: Teaches preschool and kindergarten students basic subjects and social skills
income: 151000.0
marital status: Married
household type: Married couple household with children of the householder less than 18
family presence and age: With related children 5 to 17 years only
place of birth: Kansas/KS
citizenship: Born in the United States
veteran status: Non-Veteran
disability: None
health insurance: With health insurance coverage
big five scores: Openness: Extremely High, Conscientiousness: Low, Extraversion: Extremely High, Agreeableness: Extremely Low, Neuroticism: High
defining quirks: Collects children's books
mannerisms: Often uses expressive hand gestures when speaking
personal time: Reading, Planning lessons for students
lifestyle: Busy, Family-oriented
ideology: Social Liberal
political views: Democrat
religion: Catholic
","

I prefer Option 1: Chocolate ice cream.",1,Chocolate ice cream,Vanilla ice cream
"age: 42
sex: Female
race: White alone
ancestry: Irish
household language: English only
education: Master's degree
employment status: Civilian employed, at work
class of worker: Employee of a private not-for-profit, tax-exempt, or charitable organization
industry category: EDU-Elementary And Secondary Schools
occupation category: EDU-Preschool And Kindergarten Teachers
detailed job description: Teaches preschool and kindergarten students basic subjects and social skills
income: 151000.0
marital status: Married
household type: Married couple household with children of the householder less than 18
family presence and age: With related children 5 to 17 years only
place of birth: Kansas/KS
citizenship: Born in the United States
veteran status: Non-Veteran
disability: None
health insurance: With health insurance coverage
big five scores: Openness: Extremely High, Conscientiousness: Low, Extraversion: Extremely High, Agreeableness: Extremely Low, Neuroticism: High
defining quirks: Collects children's books
mannerisms: Often uses expressive hand gestures when speaking
personal time: Reading, Planning lessons for students
lifestyle: Busy, Family-oriented
ideology: Social Liberal
political views: Democrat
religion: Catholic
","

I prefer Option 1: Chocolate ice cream. As a busy preschool teacher, I need a sweet treat to brighten up my day, and chocolate ice cream is my go-to indulgence!",1,Chocolate ice cream,Vanilla ice cream
"age: 42
sex: Female
race: White alone
ancestry: Irish
household language: English only
education: Master's degree
employment status: Civilian employed, at work
class of worker: Employee of a private not-for-profit, tax-exempt, or charitable organization
industry category: EDU-Elementary And Secondary Schools
occupation category: EDU-Preschool And Kindergarten Teachers
detailed job description: Teaches preschool and kindergarten students basic subjects and social skills
income: 151000.0
marital status: Married
household type: Married couple household with children of the householder less than 18
family presence and age: With related children 5 to 17 years only
place of birth: Kansas/KS
citizenship: Born in the United States
veteran status: Non-Veteran
disability: None
health insurance: With health insurance coverage
big five scores: Openness: Extremely High, Conscientiousness: Low, Extraversion: Extremely High, Agreeableness: Extremely Low, Neuroticism: High
defining quirks: Collects children's books
mannerisms: Often uses expressive hand gestures when speaking
personal time: Reading, Planning lessons for students
lifestyle: Busy, Family-oriented
ideology: Social Liberal
political views: Democrat
religion: Catholic
","

I prefer Option 1: Chocolate ice cream.",1,Chocolate ice cream,Vanilla ice cream
"age: 42
sex: Female
race: White alone
ancestry: Irish
household language: English only
education: Master's degree
employment status: Civilian employed, at work
class of worker: Employee of a private not-for-profit, tax-exempt, or charitable organization
industry category: EDU-Elementary And Secondary Schools
occupation category: EDU-Preschool And Kindergarten Teachers
detailed job description: Teaches preschool and kindergarten students basic subjects and social skills
income: 151000.0
marital status: Married
household type: Married couple household with children of the householder less than 18
family presence and age: With related children 5 to 17 years only
place of birth: Kansas/KS
citizenship: Born in the United States
veteran status: Non-Veteran
disability: None
health insurance: With health insurance coverage
big five scores: Openness: Extremely High, Conscientiousness: Low, Extraversion: Extremely High, Agreeableness: Extremely Low, Neuroticism: High
defining quirks: Collects children's books
mannerisms: Often uses expressive hand gestures when speaking
personal time: Reading, Planning lessons for students
lifestyle: Busy, Family-oriented
ideology: Social Liberal
political views: Democrat
religion: Catholic
","

I prefer Option 1: Chocolate ice cream. I have a sweet tooth and there's something about the rich, velvety texture and deep flavor of chocolate ice cream that just can't be beat!",1,Chocolate ice cream,Vanilla ice cream
