persona_id,persona,comparison_number,choice,choice_type,individual1_id,individual1_sex,individual1_age,individual1_race,individual1_juv_fel,individual1_juv_misd,individual1_juv_other,individual1_priors,individual1_charge,individual2_id,individual2_sex,individual2_age,individual2_race,individual2_juv_fel,individual2_juv_misd,individual2_juv_other,individual2_priors,individual2_charge
0,"age: 23
sex: Male
race: Some Other Race alone
ancestry: Hispanic
household language: Spanish
education: Regular high school diploma
employment status: Not in labor force
class of worker: Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions
industry category: RET-Automobile Dealers
occupation category: TRN-Stockers And Order Fillers
detailed job description: Responsible for receiving, storing, and distributing material, tools, equipment, and products within establishments
income: 112600.0
marital status: Never married or under 15 years old
household type: Married couple household, no children of the householder less than 18
family presence and age: No related children
place of birth: Texas/TX
citizenship: Born in the United States
veteran status: Non-Veteran
disability: None
health insurance: With health insurance coverage
big five scores: Openness: Low, Conscientiousness: Extremely Low, Extraversion: High, Agreeableness: Average, Neuroticism: Low
defining quirks: Enjoys tinkering with technology and gadgets
mannerisms: Speaks quickly and with enthusiasm
personal time: Spends free time volunteering at the local church and working on cars
lifestyle: Relaxed and community-oriented
ideology: Conservative
political views: Republican
religion: Catholic
",1,"Ok to treat differently, or no opinion",different,7310,Male,34,Caucasian,0,0,0,5,F,3787,Male,27,African-American,0,0,0,1,F
0,"age: 23
sex: Male
race: Some Other Race alone
ancestry: Hispanic
household language: Spanish
education: Regular high school diploma
employment status: Not in labor force
class of worker: Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions
industry category: RET-Automobile Dealers
occupation category: TRN-Stockers And Order Fillers
detailed job description: Responsible for receiving, storing, and distributing material, tools, equipment, and products within establishments
income: 112600.0
marital status: Never married or under 15 years old
household type: Married couple household, no children of the householder less than 18
family presence and age: No related children
place of birth: Texas/TX
citizenship: Born in the United States
veteran status: Non-Veteran
disability: None
health insurance: With health insurance coverage
big five scores: Openness: Low, Conscientiousness: Extremely Low, Extraversion: High, Agreeableness: Average, Neuroticism: Low
defining quirks: Enjoys tinkering with technology and gadgets
mannerisms: Speaks quickly and with enthusiasm
personal time: Spends free time volunteering at the local church and working on cars
lifestyle: Relaxed and community-oriented
ideology: Conservative
political views: Republican
religion: Catholic
",2,"Ok to treat differently, or no opinion",different,4624,Male,32,African-American,0,0,0,2,F,6268,Female,28,African-American,0,0,0,0,F
0,"age: 23
sex: Male
race: Some Other Race alone
ancestry: Hispanic
household language: Spanish
education: Regular high school diploma
employment status: Not in labor force
class of worker: Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions
industry category: RET-Automobile Dealers
occupation category: TRN-Stockers And Order Fillers
detailed job description: Responsible for receiving, storing, and distributing material, tools, equipment, and products within establishments
income: 112600.0
marital status: Never married or under 15 years old
household type: Married couple household, no children of the householder less than 18
family presence and age: No related children
place of birth: Texas/TX
citizenship: Born in the United States
veteran status: Non-Veteran
disability: None
health insurance: With health insurance coverage
big five scores: Openness: Low, Conscientiousness: Extremely Low, Extraversion: High, Agreeableness: Average, Neuroticism: Low
defining quirks: Enjoys tinkering with technology and gadgets
mannerisms: Speaks quickly and with enthusiasm
personal time: Spends free time volunteering at the local church and working on cars
lifestyle: Relaxed and community-oriented
ideology: Conservative
political views: Republican
religion: Catholic
",3,"Ok to treat differently, or no opinion",different,2071,Male,32,African-American,0,0,0,11,M,5086,Male,46,Caucasian,0,0,0,0,F
0,"age: 23
sex: Male
race: Some Other Race alone
ancestry: Hispanic
household language: Spanish
education: Regular high school diploma
employment status: Not in labor force
class of worker: Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions
industry category: RET-Automobile Dealers
occupation category: TRN-Stockers And Order Fillers
detailed job description: Responsible for receiving, storing, and distributing material, tools, equipment, and products within establishments
income: 112600.0
marital status: Never married or under 15 years old
household type: Married couple household, no children of the householder less than 18
family presence and age: No related children
place of birth: Texas/TX
citizenship: Born in the United States
veteran status: Non-Veteran
disability: None
health insurance: With health insurance coverage
big five scores: Openness: Low, Conscientiousness: Extremely Low, Extraversion: High, Agreeableness: Average, Neuroticism: Low
defining quirks: Enjoys tinkering with technology and gadgets
mannerisms: Speaks quickly and with enthusiasm
personal time: Spends free time volunteering at the local church and working on cars
lifestyle: Relaxed and community-oriented
ideology: Conservative
political views: Republican
religion: Catholic
",4,"Ok to treat differently, or no opinion",different,8065,Male,28,African-American,0,0,0,4,M,4229,Male,22,Caucasian,0,1,1,2,F
0,"age: 23
sex: Male
race: Some Other Race alone
ancestry: Hispanic
household language: Spanish
education: Regular high school diploma
employment status: Not in labor force
class of worker: Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions
industry category: RET-Automobile Dealers
occupation category: TRN-Stockers And Order Fillers
detailed job description: Responsible for receiving, storing, and distributing material, tools, equipment, and products within establishments
income: 112600.0
marital status: Never married or under 15 years old
household type: Married couple household, no children of the householder less than 18
family presence and age: No related children
place of birth: Texas/TX
citizenship: Born in the United States
veteran status: Non-Veteran
disability: None
health insurance: With health insurance coverage
big five scores: Openness: Low, Conscientiousness: Extremely Low, Extraversion: High, Agreeableness: Average, Neuroticism: Low
defining quirks: Enjoys tinkering with technology and gadgets
mannerisms: Speaks quickly and with enthusiasm
personal time: Spends free time volunteering at the local church and working on cars
lifestyle: Relaxed and community-oriented
ideology: Conservative
political views: Republican
religion: Catholic
",5,"Ok to treat differently, or no opinion",different,5335,Male,52,Caucasian,0,0,0,7,F,348,Male,52,African-American,0,0,0,0,F
0,"age: 23
sex: Male
race: Some Other Race alone
ancestry: Hispanic
household language: Spanish
education: Regular high school diploma
employment status: Not in labor force
class of worker: Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions
industry category: RET-Automobile Dealers
occupation category: TRN-Stockers And Order Fillers
detailed job description: Responsible for receiving, storing, and distributing material, tools, equipment, and products within establishments
income: 112600.0
marital status: Never married or under 15 years old
household type: Married couple household, no children of the householder less than 18
family presence and age: No related children
place of birth: Texas/TX
citizenship: Born in the United States
veteran status: Non-Veteran
disability: None
health insurance: With health insurance coverage
big five scores: Openness: Low, Conscientiousness: Extremely Low, Extraversion: High, Agreeableness: Average, Neuroticism: Low
defining quirks: Enjoys tinkering with technology and gadgets
mannerisms: Speaks quickly and with enthusiasm
personal time: Spends free time volunteering at the local church and working on cars
lifestyle: Relaxed and community-oriented
ideology: Conservative
political views: Republican
religion: Catholic
",6,"Ok to treat differently, or no opinion",different,5811,Male,22,African-American,0,0,0,1,F,9758,Male,29,Caucasian,0,0,0,6,F
0,"age: 23
sex: Male
race: Some Other Race alone
ancestry: Hispanic
household language: Spanish
education: Regular high school diploma
employment status: Not in labor force
class of worker: Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions
industry category: RET-Automobile Dealers
occupation category: TRN-Stockers And Order Fillers
detailed job description: Responsible for receiving, storing, and distributing material, tools, equipment, and products within establishments
income: 112600.0
marital status: Never married or under 15 years old
household type: Married couple household, no children of the householder less than 18
family presence and age: No related children
place of birth: Texas/TX
citizenship: Born in the United States
veteran status: Non-Veteran
disability: None
health insurance: With health insurance coverage
big five scores: Openness: Low, Conscientiousness: Extremely Low, Extraversion: High, Agreeableness: Average, Neuroticism: Low
defining quirks: Enjoys tinkering with technology and gadgets
mannerisms: Speaks quickly and with enthusiasm
personal time: Spends free time volunteering at the local church and working on cars
lifestyle: Relaxed and community-oriented
ideology: Conservative
political views: Republican
religion: Catholic
",7,">

Ok to treat differently, or no opinion",different,3691,Male,19,Other,0,0,0,0,M,9720,Male,38,Caucasian,0,0,0,0,F
0,"age: 23
sex: Male
race: Some Other Race alone
ancestry: Hispanic
household language: Spanish
education: Regular high school diploma
employment status: Not in labor force
class of worker: Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions
industry category: RET-Automobile Dealers
occupation category: TRN-Stockers And Order Fillers
detailed job description: Responsible for receiving, storing, and distributing material, tools, equipment, and products within establishments
income: 112600.0
marital status: Never married or under 15 years old
household type: Married couple household, no children of the householder less than 18
family presence and age: No related children
place of birth: Texas/TX
citizenship: Born in the United States
veteran status: Non-Veteran
disability: None
health insurance: With health insurance coverage
big five scores: Openness: Low, Conscientiousness: Extremely Low, Extraversion: High, Agreeableness: Average, Neuroticism: Low
defining quirks: Enjoys tinkering with technology and gadgets
mannerisms: Speaks quickly and with enthusiasm
personal time: Spends free time volunteering at the local church and working on cars
lifestyle: Relaxed and community-oriented
ideology: Conservative
political views: Republican
religion: Catholic
",8,"Ok to treat differently, or no opinion",different,4617,Male,30,Caucasian,0,0,0,0,M,8634,Male,44,African-American,0,0,0,0,F
0,"age: 23
sex: Male
race: Some Other Race alone
ancestry: Hispanic
household language: Spanish
education: Regular high school diploma
employment status: Not in labor force
class of worker: Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions
industry category: RET-Automobile Dealers
occupation category: TRN-Stockers And Order Fillers
detailed job description: Responsible for receiving, storing, and distributing material, tools, equipment, and products within establishments
income: 112600.0
marital status: Never married or under 15 years old
household type: Married couple household, no children of the householder less than 18
family presence and age: No related children
place of birth: Texas/TX
citizenship: Born in the United States
veteran status: Non-Veteran
disability: None
health insurance: With health insurance coverage
big five scores: Openness: Low, Conscientiousness: Extremely Low, Extraversion: High, Agreeableness: Average, Neuroticism: Low
defining quirks: Enjoys tinkering with technology and gadgets
mannerisms: Speaks quickly and with enthusiasm
personal time: Spends free time volunteering at the local church and working on cars
lifestyle: Relaxed and community-oriented
ideology: Conservative
political views: Republican
religion: Catholic
",9,"Ok to treat differently, or no opinion",different,4455,Male,32,Hispanic,0,0,1,1,M,4196,Female,32,African-American,0,0,0,0,F
0,"age: 23
sex: Male
race: Some Other Race alone
ancestry: Hispanic
household language: Spanish
education: Regular high school diploma
employment status: Not in labor force
class of worker: Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions
industry category: RET-Automobile Dealers
occupation category: TRN-Stockers And Order Fillers
detailed job description: Responsible for receiving, storing, and distributing material, tools, equipment, and products within establishments
income: 112600.0
marital status: Never married or under 15 years old
household type: Married couple household, no children of the householder less than 18
family presence and age: No related children
place of birth: Texas/TX
citizenship: Born in the United States
veteran status: Non-Veteran
disability: None
health insurance: With health insurance coverage
big five scores: Openness: Low, Conscientiousness: Extremely Low, Extraversion: High, Agreeableness: Average, Neuroticism: Low
defining quirks: Enjoys tinkering with technology and gadgets
mannerisms: Speaks quickly and with enthusiasm
personal time: Spends free time volunteering at the local church and working on cars
lifestyle: Relaxed and community-oriented
ideology: Conservative
political views: Republican
religion: Catholic
",10,"Ok to treat differently, or no opinion",different,5685,Male,38,Hispanic,0,0,0,1,M,7786,Male,28,African-American,0,0,0,2,F
